{'loss': 1.3186, 'learning_rate': 0.00011157050914243614, 'epoch': 0.5}
{'loss': 1.2658, 'learning_rate': 0.00010947380226690684, 'epoch': 0.5}
{'loss': 1.2156, 'learning_rate': 0.00010737288390465792, 'epoch': 0.51}
{'loss': 1.1535, 'learning_rate': 0.00010526868799852796, 'epoch': 0.52}
{'loss': 1.0895, 'learning_rate': 0.0001031621499483559, 'epoch': 0.52}
{'loss': 1.1354, 'learning_rate': 0.00010105420619515798, 'epoch': 0.53}
{'loss': 1.0976, 'learning_rate': 9.894579380484204e-05, 'epoch': 0.53}
{'loss': 1.1598, 'learning_rate': 9.683785005164411e-05, 'epoch': 0.54}
{'loss': 1.0483, 'learning_rate': 9.473131200147205e-05, 'epoch': 0.55}
{'loss': 1.1703, 'learning_rate': 9.26271160953421e-05, 'epoch': 0.55}
{'loss': 1.2279, 'learning_rate': 9.052619773309317e-05, 'epoch': 0.56}
{'loss': 1.0985, 'learning_rate': 8.84294908575639e-05, 'epoch': 0.57}
{'loss': 1.2786, 'learning_rate': 8.633792753941733e-05, 'epoch': 0.57}
{'loss': 1.1164, 'learning_rate': 8.425243756279824e-05, 'epoch': 0.58}
{'loss': 1.1089, 'learning_rate': 8.217394801200631e-05, 'epoch': 0.58}
{'loss': 1.0934, 'learning_rate': 8.010338285937006e-05, 'epoch': 0.59}
{'loss': 1.3454, 'learning_rate': 7.804166255450373e-05, 'epoch': 0.6}
{'loss': 1.0131, 'learning_rate': 7.598970361513051e-05, 'epoch': 0.6}
{'loss': 1.2249, 'learning_rate': 7.394841821965345e-05, 'epoch': 0.61}
{'loss': 1.1205, 'learning_rate': 7.191871380165538e-05, 'epoch': 0.62}
{'loss': 1.167, 'learning_rate': 6.990149264650814e-05, 'epoch': 0.62}
{'loss': 1.2067, 'learning_rate': 6.789765149027039e-05, 'epoch': 0.63}
{'loss': 1.2807, 'learning_rate': 6.590808112105232e-05, 'epoch': 0.64}
{'loss': 1.2589, 'learning_rate': 6.393366598302446e-05, 'epoch': 0.64}
{'loss': 1.0726, 'learning_rate': 6.197528378324665e-05, 'epoch': 0.65}
{'loss': 1.0072, 'learning_rate': 6.0033805101491794e-05, 'epoch': 0.65}
{'loss': 1.1011, 'learning_rate': 5.811009300323818e-05, 'epoch': 0.66}
{'loss': 1.1844, 'learning_rate': 5.620500265600206e-05, 'epoch': 0.67}
{'loss': 1.0673, 'learning_rate': 5.431938094918132e-05, 'epoch': 0.67}
{'loss': 1.3567, 'learning_rate': 5.2454066117578815e-05, 'epoch': 0.68}
{'loss': 1.1525, 'learning_rate': 5.060988736877366e-05, 'epoch': 0.69}
{'loss': 1.0992, 'learning_rate': 4.8787664514504504e-05, 'epoch': 0.69}
{'loss': 1.067, 'learning_rate': 4.698820760623064e-05, 'epoch': 0.7}
{'loss': 1.1973, 'learning_rate': 4.521231657503132e-05, 'epoch': 0.7}
{'loss': 1.094, 'learning_rate': 4.346078087600412e-05, 'epoch': 0.71}
{'loss': 1.0866, 'learning_rate': 4.173437913732048e-05, 'epoch': 0.72}
{'loss': 0.9476, 'learning_rate': 4.003387881409397e-05, 'epoch': 0.72}
{'loss': 1.3145, 'learning_rate': 3.836003584721577e-05, 'epoch': 0.73}
{'loss': 1.359, 'learning_rate': 3.671359432730834e-05, 'epoch': 0.74}
{'loss': 1.0978, 'learning_rate': 3.509528616394716e-05, 'epoch': 0.74}
{'loss': 1.1913, 'learning_rate': 3.350583076029754e-05, 'epoch': 0.75}
{'loss': 1.0915, 'learning_rate': 3.1945934693310896e-05, 'epoch': 0.75}
{'loss': 1.2515, 'learning_rate': 3.041629139962283e-05, 'epoch': 0.76}
{'loss': 1.0803, 'learning_rate': 2.8917580867292526e-05, 'epoch': 0.77}
{'loss': 1.3207, 'learning_rate': 2.7450469333520855e-05, 'epoch': 0.77}
{'loss': 1.0593, 'learning_rate': 2.6015608988480955e-05, 'epoch': 0.78}
{'loss': 1.2228, 'learning_rate': 2.4613637685393432e-05, 'epoch': 0.79}
{'loss': 1.3628, 'learning_rate': 2.324517865697501e-05, 'epoch': 0.79}
{'loss': 0.9914, 'learning_rate': 2.1910840238386398e-05, 'epoch': 0.8}
{'loss': 1.1239, 'learning_rate': 2.06112155968028e-05, 'epoch': 0.81}
{'loss': 1.3493, 'learning_rate': 1.9346882467727325e-05, 'epoch': 0.81}
{'loss': 1.3054, 'learning_rate': 1.811840289816409e-05, 'epoch': 0.82}
{'loss': 1.2131, 'learning_rate': 1.6926322996765897e-05, 'epoch': 0.82}
{'loss': 1.0981, 'learning_rate': 1.5771172691066794e-05, 'epoch': 0.83}
{'loss': 1.0361, 'learning_rate': 1.4653465491908003e-05, 'epoch': 0.84}
{'loss': 1.2106, 'learning_rate': 1.3573698265161683e-05, 'epoch': 0.84}
{'loss': 1.2042, 'learning_rate': 1.2532351010853916e-05, 'epoch': 0.85}
{'loss': 1.085, 'learning_rate': 1.152988664978556e-05, 'epoch': 0.86}
{'loss': 1.313, 'learning_rate': 1.0566750817745074e-05, 'epoch': 0.86}
{'loss': 1.0592, 'learning_rate': 9.643371667405698e-06, 'epoch': 0.87}
{'loss': 1.193, 'learning_rate': 8.760159677994172e-06, 'epoch': 0.87}
{'loss': 1.374, 'learning_rate': 7.91750747281621e-06, 'epoch': 0.88}
{'loss': 1.1171, 'learning_rate': 7.115789644719728e-06, 'epoch': 0.89}
{'loss': 1.0936, 'learning_rate': 6.355362589573077e-06, 'epoch': 0.89}
{'loss': 1.2131, 'learning_rate': 5.636564347832907e-06, 'epoch': 0.9}
{'loss': 1.2331, 'learning_rate': 4.959714454271369e-06, 'epoch': 0.91}
{'loss': 1.2583, 'learning_rate': 4.325113795930203e-06, 'epoch': 0.91}
{'loss': 1.0854, 'learning_rate': 3.7330444783642338e-06, 'epoch': 0.92}
{'loss': 1.2146, 'learning_rate': 3.1837697002341293e-06, 'epoch': 0.92}
{'loss': 1.1298, 'learning_rate': 2.677533636303964e-06, 'epoch': 0.93}
{'loss': 1.0575, 'learning_rate': 2.2145613288957478e-06, 'epoch': 0.94}
{'loss': 1.1476, 'learning_rate': 1.7950585878489856e-06, 'epoch': 0.94}
{'loss': 1.0919, 'learning_rate': 1.4192118990299707e-06, 'epoch': 0.95}
{'loss': 1.1068, 'learning_rate': 1.0871883414312777e-06, 'epoch': 0.96}
{'loss': 1.1795, 'learning_rate': 7.991355128984079e-07, 'epoch': 0.96}
{'loss': 1.1584, 'learning_rate': 5.55181464516652e-07, 'epoch': 0.97}
{'loss': 1.2263, 'learning_rate': 3.554346436871581e-07, 'epoch': 0.97}
{'loss': 0.8836, 'learning_rate': 1.9998384591773944e-07, 'epoch': 0.98}
{'loss': 1.0835, 'learning_rate': 8.889817534969425e-08, 'epoch': 0.99}
{'loss': 1.4164, 'learning_rate': 2.222701403818972e-08, 'epoch': 0.99}
{'loss': 1.3489, 'learning_rate': 0.0, 'epoch': 1.0}
